ECG,Filtered ECG,R peaks,Heart rate
324.276,-9.190815,,
324.642,-6.0721273,,
320.982,-4.9176183,,
339.648,-4.8663836,,
321.714,-2.993514,,
340.746,2.288907,,
343.30798,9.077037,,
328.668,13.060147,,
337.818,11.020473,,
335.988,3.7653546,,
345.138,-4.153279,,
340.38,-7.9305887,,
320.982,-6.39766,,
339.28198,-2.9298992,,
341.478,-2.3448067,,
324.276,-6.223218,,
336.72,-10.747645,,
321.714,-9.374561,,
346.236,1.36003,,
317.688,17.598516,,
340.746,29.451298,,
340.014,27.577782,,
336.72,10.3761215,,
314.76,-13.861808,,
329.034,-31.897722,,
325.374,-34.22096,,
331.23,-21.1078,,
315.858,-1.6912475,,
348.432,12.963697,,
342.942,17.314312,,
338.916,13.818486,,
326.472,9.179789,,
349.53,8.033937,,
324.642,9.385237,,
343.674,8.365227,,
344.04,1.3280135,,
329.034,-10.252774,,
319.152,-20.289154,,
330.86398,-22.417788,,
345.87,-14.638812,,
326.472,-0.7868392,,
338.916,11.979032,,
338.55,17.602697,,
345.87,14.431657,,
328.668,5.564148,,
343.674,-3.482143,,
322.08,-8.056948,,
333.792,-6.72865,,
342.942,-1.595994,,
323.178,3.4099228,,
330.86398,5.168498,,
323.544,3.32135,,
333.792,0.20036496,,
333.792,-1.3023773,,
324.642,-0.337787,,
324.276,1.0379354,,
322.08,-0.2697885,,
327.57,-5.1978636,,
345.138,-10.903552,,
322.08,-12.5769415,,
330.86398,-7.4993887,,
325.008,2.2211947,,
346.236,11.0256,,
342.942,14.5079775,,
347.33398,13.067222,,
329.766,10.892228,,
335.622,10.902502,,
342.576,10.613328,,
341.478,3.7644794,,
323.544,-12.699911,,
320.616,-32.592155,,
331.596,-42.25982,,
320.25,-30.728878,,
325.374,-0.51304716,,
342.576,31.012846,,
342.576,42.976467,,
344.406,27.324732,,
335.622,-3.3747385,,
319.152,-24.43756,,
336.354,-18.366894,,
347.33398,10.390625,,
342.942,37.945156,,
346.968,39.62748,,
334.158,10.0396,,
348.066,-32.00864,,
309.27,-57.96629,,
317.688,-51.61456,,
334.88998,-20.677116,,
338.55,11.124537,,
342.942,24.129679,,
324.276,17.612535,,
340.746,7.3481655,,
338.916,9.15398,,
339.28198,23.697737,,
339.28198,36.081856,,
348.066,30.097307,,
344.406,3.925568,,
316.956,-26.951685,,
342.942,-42.21169,,
325.008,-33.427536,,
335.622,-10.484219,,
345.504,7.4852,,
324.642,8.199684,,
346.968,-4.689377,,
336.354,-16.644232,,
318.786,-15.795139,,
323.544,-2.4763973,,
342.21,13.089799,,
348.798,21.45766,,
325.008,22.18282,,
337.452,22.024176,,
343.674,25.693806,,
339.28198,28.993559,,
346.968,21.750742,,
327.57,-1.6921977,,
344.406,-34.351494,,
320.616,-59.167118,,
313.296,-61.102493,,
333.426,-38.877846,,
337.086,-6.35136,,
345.504,17.790062,,
337.818,23.634428,,
340.38,16.094519,,
323.91,9.151601,,
338.916,13.685927,,
335.256,28.857094,,
350.262,43.26734,,
345.138,43.999207,,
322.812,26.028543,,
322.08,-4.608937,,
341.478,-35.012173,,
315.492,-53.0077,,
316.59,-53.071857,,
326.83798,-37.934227,,
318.786,-16.237389,,
334.88998,1.9214541,,
323.544,9.718156,,
342.576,6.903848,,
330.498,0.0030598168,,
312.93,-1.4294984,,
322.44598,8.921227,,
338.55,29.123104,,
339.648,49.122543,,
347.33398,56.662697,,
336.72,45.203022,,
322.08,18.12628,,
346.236,-13.830794,,
323.91,-39.681175,,
321.714,-54.11845,,
322.44598,-58.00549,,
320.982,-54.19023,,
340.746,-43.44715,,
323.91,-24.677523,,
314.39398,1.1378556,,
346.968,27.845364,,
337.452,46.013462,,
346.236,49.16885,,
314.39398,39.133755,,
316.224,25.307257,,
326.472,17.72932,,
333.792,19.302256,,
337.086,23.594925,,
318.41998,20.15029,,
335.256,3.0354102,,
325.74,-24.165142,,
349.53,-50.58448,,
345.504,-65.33153,,
323.91,-63.978077,,
355.75198,-49.843105,,
354.288,-30.193613,,
361.608,-11.076256,,
370.392,5.4968486,,
378.444,20.976973,,
355.02,37.77368,,
367.098,56.69583,,
369.66,75.26838,,
374.784,87.29869,,
372.954,84.38339,,
356.85,59.90145,,
331.23,14.25704,,
321.714,-42.184177,,
328.302,-92.02986,,
301.58398,-119.45732,,
315.126,-119.09808,,
289.872,-98.18491,,
299.754,-69.5329,,
325.74,-40.775066,,
304.512,-9.34252,,
319.884,31.745646,,
327.936,82.24536,,
314.02798,128.76021,,
330.86398,152.04723,,
334.524,142.64769,,
313.296,110.199295,,
334.88998,75.1819,,
311.466,47.608776,,
325.008,12.026122,,
328.302,-62.927254,,
319.884,-191.74643,,
283.65,-340.78415,,
304.878,-429.14816,,
337.086,-371.90134,,
387.96,-141.76204,,
487.146,194.86665,,
572.058,499.43564,,
622.2,633.28687,622.2,15
566.20197,535.7867,,
488.244,257.4702,,
372.58798,-72.693634,,
307.806,-321.95688,,
236.06999,-420.2595,,
250.344,-379.16245,,
228.384,-260.913,,
245.952,-128.85031,,
245.952,-16.163065,,
270.474,72.18974,,
277.428,138.23969,,
279.624,175.74246,,
294.264,174.13884,,
272.304,133.67216,,
277.794,73.150856,,
284.016,20.367014,,
294.63,-7.135011,,
292.8,-13.608774,,
310.734,-18.576214,,
312.93,-38.14626,,
312.198,-70.56146,,
313.296,-97.87963,,
304.512,-101.166756,,
302.316,-75.438515,,
327.204,-32.246113,,
336.72,10.417461,,
303.78,40.647285,,
330.86398,57.08863,,
335.622,63.78999,,
312.198,62.808144,,
324.276,52.569576,,
320.25,32.74352,,
315.858,9.092197,,
311.466,-8.257154,,
315.492,-12.648432,,
339.648,-7.498292,,
326.83798,-4.5824275,,
339.648,-14.338783,,
339.648,-36.17887,,
326.83798,-57.4485,,
340.746,-62.501606,,
